Role,Category,Subcategory,Product/Skill,Short Description,Long Description,Core,Docs Link
Apps & AI,Agentic AI,Development Tools,Claude Code,AI-powered terminal coding assistant,"Claude Code is Anthropic's agentic coding tool that operates directly from the terminal. It can explore codebases, plan and execute multi-step tasks, make edits, run commands, and integrate with git workflows. Built on Claude models with extended context windows for deep reasoning on complex projects.",No,https://docs.anthropic.com/en/docs/agents-and-tools/claude-code/overview
Apps & AI,Agentic AI,Development Tools,Codex,Code generation and understanding,"Codex models are specialized for understanding and generating programming code across multiple languages. They power code completion, explanation, refactoring, and natural language to code translation, enabling developers to write code faster and understand unfamiliar codebases through AI assistance.",No,https://en.wikipedia.org/wiki/OpenAI_Codex
Apps & AI,Agentic AI,Development Tools,GitHub Copilot,AI-powered code completion and chat,"GitHub Copilot is an AI-powered coding assistant that provides real-time code suggestions, completions, and explanations directly in your IDE. It supports multiple programming languages, understands context from your codebase, can generate entire functions from natural language descriptions, and includes chat capabilities for explaining code and debugging.",Yes,https://docs.github.com/en/copilot
Apps & AI,Agentic AI,Development Tools,GitHub Copilot CLI,AI-powered terminal assistant,"GitHub Copilot CLI brings AI assistance to the command line, enabling developers to get help with shell commands, explain complex commands, and automate terminal workflows. It understands natural language queries, suggests appropriate commands for various shells and tools, and can execute multi-step tasks with full access to your development environment.",Yes,https://docs.github.com/en/copilot/how-tos/use-copilot-for-common-tasks/use-copilot-in-the-cli
Apps & AI,Agentic AI,Framework,AutoGen,Multi-agent orchestration framework from Microsoft Research,"AutoGen is an open-source Python framework from Microsoft Research designed for building multi-agent conversational systems. It enables the creation of autonomous agents that can collaborate, execute code, and interact with humans in the loop, supporting complex workflows through group chat orchestration and nested conversation patterns.",No,https://microsoft.github.io/autogen/
Apps & AI,Agentic AI,Framework,LangChain,Popular open-source LLM orchestration framework,"LangChain is a widely-adopted open-source framework for building applications powered by large language models. It provides abstractions for chains, agents, memory, and retrieval, supports multiple LLM providers, and offers extensive integrations with vector databases, document loaders, and external tools for building sophisticated AI applications.",No,https://python.langchain.com/docs/introduction/
Apps & AI,Agentic AI,Framework,Microsoft Agent Framework,Unified open-source SDK combining Semantic Kernel and AutoGen,"The Microsoft Agent Framework is a production-ready, open-source development kit that unifies Semantic Kernel and AutoGen into a single platform for building agentic AI applications. It supports multi-agent orchestration patterns including sequential, concurrent, group chat, and handoff scenarios, with built-in observability via OpenTelemetry, Microsoft Entra security integration, and responsible AI features.",Yes,https://learn.microsoft.com/en-us/agent-framework/
Apps & AI,Agentic AI,Framework,Model Context Protocol (MCP),Open standard for agent-tool interactions,"Model Context Protocol (MCP) is an open standard that defines how AI agents discover and interact with external tools and data sources. It provides a standardized way for agents to access APIs, databases, and services, enabling interoperability between different agent frameworks and simplifying the integration of enterprise systems into agentic workflows.",Yes,https://modelcontextprotocol.io/introduction
Apps & AI,Agentic AI,Framework,n8n,Visual workflow automation platform,"n8n is an open-source workflow automation platform that enables connecting APIs and services through a visual node-based interface. It supports custom code nodes, self-hosting options, and integration with hundreds of services, making it popular for building automated workflows and integrating AI capabilities into business processes.",No,https://docs.n8n.io/
Apps & AI,Agentic AI,Framework,Prompty,Microsoft prompt templating format,"Prompty is a Microsoft-developed asset class and format for LLM prompts that enables version control, sharing, and standardization of prompt engineering. It supports parameterized templates, model configuration, and integration with development tools, making it easier to manage prompts across development teams and deployment environments.",No,https://prompty.ai/
Apps & AI,Agentic AI,Framework,Semantic Kernel,"LLM orchestration SDK for .NET, Python, Java","Semantic Kernel is an open-source SDK that enables developers to integrate large language models into applications using .NET, Python, or Java. It provides a modular architecture with plugins, planners, memory management, and connectors to various AI services, making it ideal for building enterprise-grade AI solutions with function calling and prompt templating capabilities.",No,https://learn.microsoft.com/en-us/semantic-kernel/
Apps & AI,Agentic AI,Solution,Azure Copilot,AI assistant in Azure Portal,"Azure Copilot is an AI assistant integrated into the Azure Portal that helps users manage cloud resources, troubleshoot issues, and optimize deployments. It understands Azure services and can provide guidance on best practices, generate ARM/Bicep templates, explain resource configurations, and assist with cost optimization and security recommendations.",No,https://learn.microsoft.com/en-us/azure/copilot/
Apps & AI,Agentic AI,Solution,Azure SRE Agent,AI agent for site reliability engineering tasks,"Azure SRE Agent is an AI-powered site reliability engineering assistant that helps automate operational tasks across Azure infrastructure. It combines fine-tuned Azure expertise with customizable runbooks, integrates with monitoring platforms like Azure Monitor and Grafana, and supports incident management through PagerDuty and ServiceNow connections.",Yes,https://learn.microsoft.com/en-us/azure/sre-agent/
Apps & AI,Agentic AI,Solution,Microsoft 365 Copilot,AI assistant across Microsoft 365 apps,"Microsoft 365 Copilot is an AI assistant embedded across Microsoft 365 applications including Word, Excel, PowerPoint, Outlook, and Teams. It leverages organizational data through Microsoft Graph to help users draft documents, analyze data, create presentations, summarize emails, and automate routine tasks while maintaining enterprise security and compliance.",Yes,https://learn.microsoft.com/en-us/microsoft-365-copilot/
Apps & AI,Agentic AI,Solution,Microsoft Copilot Studio,Low-code platform for building copilots and agents,"Microsoft Copilot Studio is a low-code/no-code platform for creating conversational AI agents and copilots. It provides a visual designer for building dialog flows, integrates with Power Automate for workflow automation, supports knowledge retrieval from enterprise data sources, and enables deployment across Microsoft 365, Teams, and custom websites.",Yes,https://learn.microsoft.com/en-us/microsoft-copilot-studio/
Apps & AI,Agentic AI,Solution,Microsoft Foundry Agent Service,Managed service for building and hosting AI agents,"Azure AI Foundry Agent Service (formerly Azure AI Agent Service) is a fully managed Azure service for building, deploying, and scaling AI agents with enterprise-grade security and compliance. It provides built-in credential management, persistent conversation threads, tool orchestration, content moderation, and native integrations with Azure Functions, Bing, Microsoft Fabric, SharePoint, and Azure AI Search.",Yes,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/overview
